"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SUCNR1",25.2297803035124,-0.760759587864666,7.11537650224709,-0.106917685610089,0.914854282527984,0.997894714965317
"MBNL1",3043.56922014298,0.229576147287536,0.31641779195197,0.725547529648345,0.468116197350056,0.904509191885359
"MBNL1-AS1",32.027778112615,0.0769045016363338,2.10158090363584,0.0365936431489671,0.970809012169534,0.99923753558823
"P2RY1",630.465835971789,-0.104655612046518,0.577459690466468,-0.181234489219461,0.856183524344585,0.996481020333549
"RAP2B",1769.90894943872,0.405156232187544,0.531601152878082,0.762143253441106,0.445974510053786,0.896028836252025
"LINC02006",0.950463988016433,-0.316515831665841,7.51577853252106,-0.042113512298994,0.966408208470809,NA
"ARHGEF26-AS1",15.2435422392777,5.0514008309673,3.02047514882209,1.67238615849471,0.0944481997390922,0.5550552581369
"ARHGEF26",258.028228322853,2.09039550238212,0.965065120905245,2.16606678357757,0.0303060840053584,0.343999907312638
"DHX36",1737.95956429082,0.279187291808061,0.272023752283214,1.02633424274432,0.304734061822337,0.820640649168879
"MME",273.907040510949,-1.40354808460286,0.916053610940552,-1.53216806073367,0.125480967945986,0.621360614249802
"PLCH1",123.596056514165,4.10834017026736,2.51007056967965,1.6367428947592,0.101684202176618,0.572400930129396
"RN7SL715P",4.96139510362658,1.21428529654063,5.76277497984538,0.210711905425328,0.833112083993736,NA
"PLCH1-AS1",1.32021287645731,-0.319766192969162,7.51537307577371,-0.0425482793395778,0.966061625225537,NA
"PLCH1-AS2",1.15641341557211,-1.41281643461904,7.51664474120416,-0.187958388784077,0.850909270681391,NA
"C3orf33",122.875187483157,-0.315723238766922,0.812415748261304,-0.388622745734089,0.697555238226278,0.977834017241799
"SLC33A1",704.468359539752,-0.685374404497864,0.400639471015356,-1.71070115173848,0.0871362949900359,0.539589614630978
"GMPS",787.083164935039,-0.0580381904540933,0.315789208892946,-0.183787757211706,0.854179960866929,0.996481020333549
"SETP14",5.25629879877415,-2.73433828602706,2.65027930359561,-1.03171702783077,0.302204698161361,NA
"KCNAB1",470.640161550731,-0.057367925596956,0.494529158771212,-0.116005142627993,0.90764846608771,0.997894714965317
"KCNAB1-AS1",0.971137217963627,0.142480087121815,7.52236484940797,0.0189408636744107,0.9848882808821,NA
"SSR3",6266.51754502441,0.645957707350362,0.310055058482891,2.0833645176152,0.0372180099611138,0.372894063752333
"TIPARP-AS1",24.1214490500632,-1.28171189091473,1.15589644056444,-1.10884664571582,0.267496343833845,0.793464391448686
"TIPARP",897.245498932587,0.595729106361527,0.825267717085133,0.721861638385248,0.470379548611853,0.905560566469046
"METTL15P1",5.10175408805832,4.07990095528006,5.05803932953262,0.806617088059901,0.419887125635541,NA
"LINC00886",15.9246015905725,1.44227478285089,2.04441194411161,0.705471706426383,0.480516733517751,0.911398915032139
"PA2G4P4",13.1595751323081,-1.2734498707485,1.92893098400166,-0.66018425817738,0.509135592973533,0.92801402260252
"LEKR1",10.3895052408981,-1.5713454457686,2.43879702407151,-0.644311695585589,0.519373333050205,0.934156485029174
"LINC02029",6.45419745982954,5.67936856585526,5.72213621372634,0.992525929779776,0.3209410370117,NA
"CCNL1",2766.25695822029,-0.0510459762884296,0.608510461725988,-0.0838867685916888,0.933146459612615,0.997894714965317
"RNA5SP146",0.836351631103807,2.54597044226258,7.46193442503993,0.341194427241158,0.732957218274547,NA
"VEPH1",295.806138410751,0.679004159185484,0.548786835098228,1.23728215722221,0.215982349647275,0.7507044877806
"PTX3",4740.12922031355,1.42710475538755,1.33078262525646,1.07238006290661,0.283549359096325,0.801987931854372
"SLC66A1L",37.1000128584415,1.68821843879515,1.82537840324974,0.924859435057193,0.355039029555076,0.852537866322153
"SHOX2",22.7576575174251,-6.77670879045135,2.32192388457575,-2.91857490913814,0.00351635377576698,0.115931810987557
"RSRC1",803.415479563957,0.815300491990147,0.352251446774706,2.31454121609783,0.0206380531284788,0.289831613708481
"RPS12P7",3.69260151227471,-0.535954696348808,6.18484180737024,-0.0866561689112454,0.930944817439921,NA
"MLF1",538.335090611101,1.39847013991279,0.505021645669278,2.76912910942555,0.00562063573316253,0.153326377817337
"MTAPP1",5.1867187765848,5.12607104778427,5.3638479970011,0.955670453497233,0.339238754522838,NA
"GFM1",1128.89218095437,0.365568122186154,0.319458124949479,1.14433815776001,0.252483424413573,0.78046978328116
"LXN",164.345318947937,0.142441086753863,1.30399951459492,0.109234002896168,0.913016891253277,0.997894714965317
"RARRES1",52.6179131007215,3.80826023227194,1.94562424696715,1.95734620300311,0.0503067788302999,0.430183701984001
"MFSD1",658.685913948527,0.753826533346263,0.48365788827909,1.55859451817991,0.119092381319061,0.611078094088447
"C9orf78P1",2.32644846802823,-4.10088694656281,7.26024108442954,-0.56484170413537,0.572181438025049,NA
"IQCJ-SCHIP1-AS1",2.29738301477718,-0.0545110591814146,7.51096526343501,-0.00725753045973812,0.994209379330349,NA
"SCHIP1",1272.62915256062,0.546020811632695,0.326809984110533,1.67075927352336,0.0947692358390186,0.555775673644972
"IL12A",13.5804618436227,1.21645840373886,2.83272865005978,0.42942990805462,0.667610392390328,0.969140298701666
"BRD7P2",3.8452349484864,4.08597425914646,3.40470662683045,1.20009583996088,0.230102121015954,NA
"C3orf80",5.27369028828951,6.42032834347078,3.51349913118469,1.82733170089214,0.0676499116039724,NA
